"","input","filtered","denoisedF","denoisedR","merged","correct_length","nonchim"
"e05099-A",40333,38512,38373,38070,35922,35922,35474
"e05099-B",29969,28565,28463,28184,26796,26796,26558
"e05100-A",34811,33339,33222,32965,31791,31791,31780
"e05100-B",24281,23286,23188,22942,22017,22017,21994
"e05101-A",1772,1682,1609,1495,1298,1298,1298
"e05101-B",1410,1328,1274,1269,1108,1108,1108
"e05102-A",43722,42032,42021,41629,40789,40789,39130
"e05102-B",36515,35072,35044,34638,33693,33693,30825
"e05103-A",41233,39343,39086,38688,36574,36218,35764
"e05103-B",26065,24909,24638,23896,22889,22878,22490
"e05104-A",37748,36257,35820,35611,33550,33550,33061
"e05104-B",28329,27216,27002,26659,25084,25079,24473
"e05105-A",49140,47226,47134,46656,44838,44826,42374
"e05105-B",42233,40660,40586,40047,38574,38570,35910
"e05106-A",46843,44999,44972,44599,43779,43779,43250
"e05106-B",33938,32578,32544,32293,31510,31510,31164
"e05107-A",1910,1828,1718,1470,1262,1262,1262
"e05107-B",5358,5123,5046,5041,4825,4704,4704
