"","sample_id","input","filtered","denoisedF","denoisedR","merged","correct_length","nonchim","tax_reads","decon_reads"
"66","e05131-B",18505,17797,16530,17193,15013,14953,14953,9603,9420
"67","e05132-A",39171,37630,37544,37332,36130,36031,34375,34375,33719
"68","e05132-B",36071,34688,34670,34370,33325,33304,32182,32182,31567
"69","e05133-A",45036,43273,43208,42716,40607,40603,39456,39419,38666
"70","e05133-B",44238,42539,42399,41970,39698,39684,38338,38321,37589
"71","e05134-A",10494,10053,10038,9917,9406,9406,9406,9324,9156
"72","e05134-B",15638,15006,14965,14857,14211,14211,14194,14189,13933
"73","e05135-A",64123,61654,61611,61328,59704,59702,56201,56201,55128
"74","e05135-B",54746,52662,52632,52315,50857,50857,48098,48098,47179
"75","e05136-A",56027,53908,53899,53627,52490,52490,51436,51436,50454
"76","e05136-B",50842,48863,48836,48531,47318,47318,46370,46370,45484
"77","e05137-A",21760,20945,20735,20706,19655,19539,19536,17508,17174
"78","e05137-B",2120,2024,1959,1800,1346,1346,1346,789,0
"79","e05138-A",55120,52986,52976,52855,52315,52315,51762,51762,50773
"80","e05138-B",45428,43653,43636,43475,42732,42732,40860,40860,40080
"81","e05139-A",40705,39139,39027,38951,37872,37872,37574,37565,36847
"82","e05139-B",38055,36533,36483,36242,35100,35100,33961,33289,32653
"83","e05140-A",23244,22313,22240,22192,21449,21449,18089,18006,17672
"84","e05140-B",24122,23181,23155,22974,22130,22128,22108,22108,21686
"85","e05141-A",64890,62345,62330,62159,61422,61422,60405,60405,59251
"86","e05141-B",54898,52767,52755,52588,51787,51787,50882,50882,49910
"87","e05142-A",56986,54878,54854,54754,54310,54310,53824,53824,52853
"88","e05142-B",47806,46029,46020,45893,45350,45350,44903,44903,44046
"89","e05143-A",431,410,401,392,327,327,327,327,0
"90","e05143-B",473,446,436,419,373,373,373,373,0
"91","e05144-A",68798,66128,66115,66042,65727,65727,64294,64294,63133
"92","e05144-B",56669,54473,54460,54400,54059,54055,52800,52800,51847
"93","e05145-A",57137,54898,54863,54721,53959,53959,53421,53418,52398
"94","e05145-B",48681,46717,46664,46540,45741,45741,45327,45327,44461
"95","e05146-A",49085,47139,47118,47045,46545,46538,46325,46325,45466
"96","e05146-B",41040,39448,39398,39219,38437,38433,37644,37607,36909
"97","e05147-A",56579,54361,54347,54307,54020,54020,53956,53908,52904
"98","e05147-B",44995,43246,43238,43173,42943,42943,42910,42910,42094
"99","e05148-A",47931,46023,45990,45841,45119,45119,44085,44085,43266
"100","e05148-B",40423,38766,38757,38611,37900,37900,37178,37178,36475
"101","e05149-A",62969,60238,60051,59425,56338,56338,55567,54316,53279
"102","e05149-B",56593,54109,53924,53398,50617,50617,49796,48456,47530
"103","e05150-A",52509,50413,50360,49830,48260,48241,46541,46398,45512
"104","e05150-B",43563,41774,41675,41221,39590,39587,39312,39164,38416
"105","e05151-A",70460,67824,67791,67140,65834,65834,62796,62791,61592
"106","e05151-B",57004,54847,54817,54319,53000,53000,50775,50773,49803
"107","e05152-A",56960,54727,54648,54250,52899,52899,52620,52514,51511
"108","e05152-B",47583,45657,45536,45119,43398,43377,42960,42798,41981
"109","e05153-A",52626,50576,50545,50010,48193,48162,45404,45404,44537
"110","e05153-B",46612,44909,44876,44325,42747,42747,40226,40226,39458
"111","e05154-A",50022,48153,48119,47736,46736,46694,46028,46028,45148
"112","e05154-B",43825,42051,42000,41567,40487,40487,39438,39429,38675
"113","e05155-A",50765,48787,48760,48307,47237,47237,45889,45889,45013
"114","e05155-B",44333,42615,42585,42132,41240,41240,40382,40381,39609
"115","e05156-A",34787,33366,33333,33070,32133,32133,31049,31045,30452
"116","e05156-B",30051,28848,28818,28549,27582,27582,26535,26534,26027
"117","e05157-A",46970,45144,45129,44791,43718,43718,41924,41924,41123
"118","e05157-B",41930,40293,40265,39886,38812,38812,37521,37521,36804
"119","e05158-A",44155,42434,42397,42029,40543,40540,39789,39789,39029
"120","e05158-B",36937,35443,35257,34903,32993,32991,32452,32448,31829
"121","e05159-A",64090,61638,61601,61059,60001,60001,58663,58484,58422
"122","e05159-B",59544,57279,57249,56736,55349,55347,54081,53919,53862
"123","e05160-A",51154,49122,48938,48778,47728,47262,46906,46870,45975
"124","e05160-B",53222,51152,51117,50673,49350,49350,48937,48108,47189
"125","e05161-A",51748,49832,49766,49438,47897,47897,45566,45566,44691
"126","e05161-B",47798,45959,45904,45420,43883,43883,41727,41727,40930
"127","e05162-A",44572,42845,42816,42609,41695,41695,40797,40661,39884
"128","e05162-B",40629,39097,39032,38782,37748,37748,36599,36595,35896
"129","e05163-A",60557,58251,58217,57592,55900,55900,54229,54229,53193
"130","e05163-B",43053,41421,41393,40895,39624,39624,38704,38704,37965
"131","e05164-A",52608,50531,50508,50289,49427,49427,48510,48330,47407
"132","e05164-B",44256,42543,42506,42253,41345,41319,40329,40314,39544
"133","e05165-A",55780,53643,53550,53291,51418,51418,47540,47539,46631
"134","e05165-B",53043,51048,50979,50678,48725,48725,45187,45187,44323
"135","e05166-A",48686,46757,46735,46408,44982,44982,43804,43804,42967
"136","e05166-B",42916,41251,41217,40772,39150,39150,38012,38012,37286
"137","e05167-A",54388,52157,52100,51339,48724,48724,47310,47308,46404
"138","e05167-B",48391,46518,46502,45565,43049,43049,41707,41707,40910
"139","e05168-A",60601,58218,58186,57993,57170,57170,56899,56781,55696
"140","e05168-B",52575,50565,50525,50156,49004,49004,48488,48458,47532
"141","e05169-A",65545,62886,62851,62589,61501,61501,60535,60531,59374
"142","e05169-B",56986,54861,54832,54579,53447,53447,52348,52348,51348
"143","e05170-A",40952,39367,39295,38905,36760,36760,31877,31877,31269
"144","e05170-B",35810,34411,34303,33890,31649,31642,25536,25536,25048
"145","e05171-A",40067,38525,38503,37971,36037,36037,34275,34275,33621
"146","e05171-B",44064,42427,42400,41944,39874,39829,38330,38330,37598
"147","e05172-A",39631,37998,37758,37573,35555,35555,35018,34969,34301
"148","e05172-B",42507,40887,40859,40367,38083,38083,36823,36816,36113
"149","e05173-A",55328,53109,53073,52719,51066,51066,48239,48239,47317
"150","e05173-B",53826,51816,51803,51451,49622,49622,46713,46713,45821
"151","e05174-A",48854,47037,47014,46809,45711,45711,44781,44781,43926
"152","e05174-B",45861,44079,44045,43828,42728,42724,41868,41868,41068
"153","e05175-A",65872,63277,63255,63108,62460,62460,61837,61837,60637
"154","e05175-B",54728,52689,52674,52537,52027,52027,51485,51485,50502
"155","e05176-A",51418,49487,49419,49032,47670,47670,46572,46546,45657
"156","e05176-B",51722,49724,49695,49347,48338,48338,46505,46450,45563
"157","e05177-A",59860,57590,57544,57368,56572,56572,55784,55784,54703
"158","e05177-B",51435,49425,49409,49177,48442,48424,47612,47612,46753
"159","e05178-A",55724,53525,53512,53412,52905,52905,52480,52480,51478
"160","e05178-B",41232,39627,39562,39438,38481,38469,37241,37193,36483
"161","e05179-A",60566,58235,58204,57996,57441,57441,56505,56505,55485
"162","e05179-B",48914,47039,47023,46725,46042,46042,45033,45033,44172
"163","e05180-A",46637,44721,44680,44503,43826,43826,43484,43484,42653
"164","e05180-B",41296,39631,39611,39376,38566,38566,38198,38198,37469
"165","e05181-A",65812,63153,63120,62884,62264,62264,62170,62152,60964
"166","e05181-B",59329,56948,56929,56610,55923,55923,55850,55850,54842
"167","e05182-A",52585,50437,50420,50249,49425,49425,48338,48337,47445
"168","e05182-B",50213,48266,48230,48086,47104,47104,46034,46034,45203
"169","NC-Meta-A",1165,1116,1104,1054,950,950,950,950,0
"170","NC-Meta-B",1643,1587,1575,1499,1324,1324,1324,1324,0
"171","PC-Meta-A",53030,50498,50339,49815,47945,47945,45961,45961,0
"172","PC-Meta-B",1248,1164,1134,1036,935,935,935,935,0
